id,name,exchange_type,centralized,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,networks
binance,Binance,CEX,True,2017,Cayman Islands,"One of the world’s largest cryptocurrency exchanges by trading volume, offering a wide range of services including spot, futures, and staking options.",https://www.binance.com/,https://coin-images.coingecko.com/markets/images/52/small/binance.jpg?1706864274,False,10,1,311768.6945530175,
gate,Gate,CEX,True,2013,Panama,"Established in 2013, Gate is a cryptocurrency exchange platform with over 23 million users across more than 130 countries. It supports spot, futures, margin trading, and wealth management products for over 3,900 cryptocurrencies. As of May 8, 2025, Gate reports a 24-hour spot trading volume that ranks second globally. The platform uses zero-knowledge technology to verify user asset holdings. As of June 2025, the total value of Gate’s reserves stands at $10.453 billion, covering over 350 types of user assets, with a total reserve ratio of 123.09% and an excess reserve of $1.96 billion. Gate entities have obtained regulatory licenses or approvals in jurisdictions including Lithuania, Argentina, Malta, Italy, Gibraltar, Bahamas, and Hong Kong. In 2024, Gate Group acquired the Japan-licensed exchange Coin Master. Most recently, Gate Technology FZE (""Gate Dubai"") received a full operational license from the Virtual Assets Regulatory Authority (VARA) in Dubai.",https://www.gate.com,https://coin-images.coingecko.com/markets/images/60/small/Frame_1.png?1747795534,False,10,2,66365.236073802,
mxc,MEXC,CEX,True,2018,Seychelles,"Established in April 2018, MEXC is one of the world’s leading digital-asset trading platforms. The core team comes from world-class enterprises and financial companies with rich experience in blockchain and financial industries.",https://www.mexc.com/,https://coin-images.coingecko.com/markets/images/409/small/logo_new.png?1743600043,False,10,3,64569.8182701322,
bitget,Bitget,CEX,True,2018,Seychelles,"Established in 2018, Bitget is the world's leading cryptocurrency exchange and Web3 company. Serving over 100 million users in 150+ countries and regions, the Bitget exchange is committed to helping users trade smarter with its pioneering copy trading feature and other trading solutions, while offering real-time access to Bitcoin price, Ethereum price, and other cryptocurrency prices. Formerly known as BitKeep, Bitget Wallet is a world-class multi-chain crypto wallet that offers an array of comprehensive Web3 solutions and features including wallet functionality, token swap, NFT Marketplace, DApp browser, and more. Bitget is at the forefront of driving crypto adoption through strategic partnerships, such as its role as the Official Crypto Partner of the World's Top Football League, LALIGA, in EASTERN, SEA and LATAM market, as well as a global partner of Turkish National athletes Buse Tosun Çavuşoğlu (Wrestling world champion), Samet Gümüş (Boxing gold medalist) and İlkin Aydın (Volleyball national team), to inspire the global community to embrace the future of cryptocurrency.",https://www.bitget.com/,https://coin-images.coingecko.com/markets/images/540/small/2023-07-25_21.47.43.jpg?1706864507,False,10,4,63717.65912176251,
bybit_spot,Bybit,CEX,True,2018,British Virgin Islands,"Bybit is the world’s second-largest cryptocurrency exchange by trading volume, serving a global community of over 60 million users. Founded in 2018, Bybit is redefining openness in the decentralized world by creating a simpler, open and equal ecosystem for everyone. With a strong focus on Web3, Bybit partners strategically with leading blockchain protocols to provide robust infrastructure and drive on-chain innovation. Renowned for its secure custody, diverse marketplaces, intuitive user experience, and advanced blockchain tools, Bybit bridges the gap between TradFi and DeFi, empowering builders, creators, and enthusiasts to unlock the full potential of Web3. Discover the future of decentralized finance at Bybit.com.",https://www.bybit.com,https://coin-images.coingecko.com/markets/images/698/small/bybit_spot.png?1706864649,False,10,5,61703.49622424757,
okex,OKX,CEX,True,2017,Seychelles,"OKX is a leading global cryptocurrency exchange offering diverse trading options, advanced security, and Web3 integration for millions of users worldwide.",https://www.okx.com,https://coin-images.coingecko.com/markets/images/96/small/WeChat_Image_20220117220452.png?1706864283,False,10,6,48018.653819299696,
gdax,Coinbase Exchange,CEX,True,2012,United States,"A leading U.S.-based exchange known for its regulatory compliance, user-friendly interface, and support for fiat-to-crypto transactions.",https://www.coinbase.com/,https://coin-images.coingecko.com/markets/images/23/small/Coinbase_Coin_Primary.png?1706864258,False,10,7,37811.38309499789,
kraken,Kraken,CEX,True,2011,United States,"Kraken is a San Francisco-based cryptocurrency exchange, offering a wide range of trading services for various cryptocurrencies and known for its robust security and regulatory compliance efforts.",https://www.kraken.com/,https://coin-images.coingecko.com/markets/images/29/small/kraken.jpg?1706864265,False,10,8,17161.024190446697,
kucoin,KuCoin,CEX,True,2017,,"As a user-oriented platform with a focus on inclusiveness and community action reach, it offers over 1,000 digital assets and currently provides Spot trading, Margin trading, P2P Fiat trading, Futures trading, Staking, and Lending to its 41 million users in more than 200 countries and regions. KuCoin is currently one of the top 5 crypto exchanges. KuCoin’s dedication to excellence has garnered prestigious recognitions, such as being named among Forbes’ ""Best Crypto Apps & Exchanges"" and one of the ""Top 50 Global Unicorns"" by Hurun in 2024. KuCoin has successfully achieved SOC 2 Type II and ISO 27001:2022 Certifications, which provides a structured approach to managing information security, covering aspects like risk management, access control, data governance, and incident response. Learn more at https://www.kucoin.com.",https://www.kucoin.com/,https://coin-images.coingecko.com/markets/images/61/small/kucoin.png?1706864282,False,9,9,62020.05830659465,
huobi,HTX,CEX,True,2013,Seychelles,"HTX (previously Huobi) is a leading cryptocurrency exchange recognized for its strong security measures and a wide range of trading options. With a user-friendly interface and high liquidity, it caters to both novice and experienced traders while offering various incentives like staking and referral programs.",https://www.huobi.com,https://coin-images.coingecko.com/markets/images/25/small/htx.png?1721712842,False,9,10,45407.1686321954,
